Timestamp; Read by consumer; Remaining in queue
1220910;1000;42714
1221918;1000;42092
1222923;1000;42628
1223933;1000;44377
1224936;1000;43377
1225945;1000;42377
1226946;1000;41377
1227950;1000;40377
1228954;1000;39377
1229965;1000;38377
1230977;1000;37377
1231980;1000;36377
1232991;1000;35377
1234006;1000;34377
1235018;1000;33377
1236031;1000;32377
1237044;1000;31377
1238057;1000;30377
1239072;1000;29377
1240086;1000;28377
1241096;1000;27377
1242096;1000;26377
1243109;1000;25377
1244123;1000;24377
1245131;1000;23377
1246134;1000;22377
1247147;1000;21377
1248160;1000;20377
1249171;1000;19377
1250184;1000;18377
1251199;1000;17377
1252212;1000;16377
1253212;1000;15377
1254226;1000;14377
1255239;1000;13377
1256255;1000;12377
1257265;1000;11377
1258267;1000;10377
1259278;1000;9377
1260292;1000;8377
1261295;1000;7377
1262307;1000;6377
1263320;1000;5377
1264331;1000;4377
1265342;1000;3377
1266356;1000;2377
1267371;1000;1377
1268384;1000;377
1269396;1000;0
1270405;1000;0
1271418;1000;0
1272429;1000;0
1273438;1000;0
1274451;1000;0
