Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
267707;102;182;304;17163;;45107
267901;48;101;161;17441;;45107
268406;95;187;279;18011;;45107
268662;95;187;279;17146;;45972
269410;23;36;72;17015;;45972
269627;23;36;72;17015;;45972
269914;3;14;16;16209;;45972
270653;3;14;16;15725;;46456
270931;13;28;56;14984;;46456
271428;27;67;102;15232;;46456
271631;27;67;102;15232;;46456
272450;17;23;46;14647;;46456
272637;17;23;46;14647;;46456
273459;5;8;19;13813;;46456
273645;5;8;19;13813;;46456
273965;12;38;56;13086;;46456
274468;27;71;112;13318;;46456
274653;27;71;112;13318;;46456
275476;8;12;18;12626;;46456
275662;8;12;18;12626;;46456
275978;3;8;9;11709;;46456
276481;9;22;28;11798;;46456
276668;9;22;28;11798;;46456
276985;13;19;32;11002;;46456
277490;16;25;50;11091;;46456
277677;16;25;50;11091;;46456
277989;8;10;20;10295;;46456
278688;8;10;20;10295;;46456
279016;15;41;52;9585;;46456
279534;18;47;68;9646;;46456
279702;18;47;68;9646;;46456
280047;14;34;57;8988;;46456
280559;21;43;78;9051;;46456
280712;21;43;78;9051;;46456
281071;12;28;38;8403;;46456
281572;15;35;55;8485;;46456
281726;15;35;55;8485;;46456
282072;10;18;29;7755;;46456
282587;18;29;52;7871;;46456
282740;18;29;52;7871;;46456
283600;11;20;18;7082;;46456
283753;11;20;18;7082;;46456
284619;2;12;23;6223;;46456
284757;2;12;23;6223;;46456
285637;1;8;12;5311;;46456
285759;1;8;12;5311;;46456
286150;3;16;27;4447;;46456
286773;3;16;27;4447;;46456
287163;8;19;25;3633;;46456
287786;8;19;25;3633;;46456
288195;10;12;24;2807;;46456
288709;15;26;45;2908;;46456
288800;15;26;45;2908;;46456
289223;11;17;30;2131;;46456
289813;11;17;30;2131;;46456
290227;5;8;6;1242;;46456
290737;9;13;31;1309;;46456
290814;9;13;31;1309;;46456
291251;6;13;18;462;;46456
291826;6;13;18;462;;46456
292252;9;11;23;84;;45955
292764;14;25;50;168;;45955
292839;14;25;50;168;;45955
293279;7;14;13;83;;45212
293791;15;27;29;184;;45212
293853;15;27;29;184;;45212
294292;7;12;23;98;;44467
294793;15;18;38;140;;44467
294854;15;18;38;140;;44467
295796;7;21;16;114;;43678
295857;7;21;16;114;;43678
296306;8;14;16;86;;42836
296820;19;38;44;255;;42836
296865;19;38;44;255;;42836
297329;9;17;20;97;;42192
297845;29;49;61;331;;42192
297872;29;49;61;331;;42192
298356;10;25;33;165;;41662
298884;10;25;33;165;;41662
299369;4;20;19;100;;40895
299870;16;37;41;224;;40895
299885;16;37;41;224;;40895
300373;1;5;19;53;;40213
300886;1;5;19;53;;40213
301377;1;7;15;70;;39291
301878;11;20;27;159;;39291
301890;11;20;27;159;;39291
302904;0;0;0;0;;38508
302907;6;5;9;41;;38508
303406;2;13;18;65;;37569
303906;2;13;18;65;;37569
304420;15;20;37;163;;36667
304921;15;20;37;163;;36667
305436;1;2;11;60;;35902
305933;1;2;11;60;;35902
305938;9;16;26;129;;35902
306454;4;11;14;50;;35082
306932;4;11;14;50;;35082
307478;13;38;42;188;;34161
307944;13;38;42;188;;34161
307993;24;51;68;305;;34161
308507;3;8;12;56;;33609
308957;3;8;12;56;;33609
309021;8;21;28;142;;33609
309968;0;0;0;0;;32808
310049;11;17;25;145;;32808
310980;11;0;0;0;;31995
311063;9;17;22;125;;31995
311574;16;27;15;89;;31153
311995;16;27;15;89;;31153
312078;8;11;42;193;;31153
313006;8;11;0;0;;30431
313089;12;21;30;132;;30431
313599;29;60;42;222;;29612
314019;29;60;42;222;;29612
314609;4;21;29;102;;28965
315027;4;21;29;102;;28965
315108;18;21;51;219;;28965
315626;21;33;12;48;;28260
316027;21;33;12;48;;28260
316653;5;5;17;67;;27374
317038;5;5;17;67;;27374
317676;14;27;47;237;;26468
318049;14;27;47;237;;26468
318704;5;10;15;58;;25793
319060;5;10;15;58;;25793
319219;9;19;28;118;;24881
320069;9;19;28;118;;24881
320247;17;31;50;245;;24055
320751;22;38;61;318;;24055
321075;22;38;61;318;;24055
321266;11;8;21;138;;23494
322090;11;8;21;138;;23494
322280;7;8;21;98;;22672
322788;13;20;29;151;;22672
323099;13;20;29;151;;22672
323290;8;6;11;55;;21885
324100;8;6;11;55;;21885
324319;7;15;13;78;;20965
324819;15;35;37;196;;20965
325112;15;35;37;196;;20965
325333;9;12;29;145;;20248
325846;14;24;61;237;;20248
326125;14;24;61;237;;20248
326347;5;10;8;58;;19584
326849;25;37;57;280;;19584
327139;25;37;57;280;;19584
327361;13;13;25;109;;18983
327864;21;23;41;188;;18983
328145;21;23;41;188;;18983
328362;6;29;32;169;;18256
329159;6;29;32;169;;18256
329380;12;17;25;138;;17492
330173;12;17;25;138;;17492
330379;5;13;21;107;;16684
331188;5;13;21;107;;16684
331410;9;24;23;140;;15830
332203;9;24;23;140;;15830
332423;2;8;16;77;;15026
332924;9;20;30;152;;15026
333217;9;20;30;152;;15026
333439;8;10;22;68;;14237
333953;15;21;38;152;;14237
334230;15;21;38;152;;14237
334466;4;12;23;60;;13463
335239;4;12;23;60;;13463
335491;5;24;29;116;;12562
336007;12;43;61;258;;12562
336252;12;43;61;258;;12562
336519;5;13;20;95;;11936
337262;5;13;20;95;;11936
337545;10;20;24;139;;11069
338058;24;47;63;326;;11069
338272;24;47;63;326;;11069
338571;16;25;48;199;;10529
339070;23;38;78;311;;10529
339285;23;38;78;311;;10529
339586;1;8;8;49;;9979
340097;15;31;37;221;;9979
340295;15;31;37;221;;9979
340619;8;20;23;122;;9283
341306;8;20;23;122;;9283
