Timestamp; Read by categoriser; Remaining in queue
591933;1000;0
592449;1000;0
592962;1000;0
593464;1000;374
593965;1000;79
594480;1000;21
594995;1000;0
595508;1000;0
596022;1000;0
596521;1000;0
597036;1000;0
597549;1000;0
598066;1000;0
598580;1000;0
599094;1000;0
599596;1000;0
600107;1000;0
600622;1000;0
601136;1000;272
601650;1000;0
602163;1000;0
602676;1000;0
603177;1000;0
603688;1000;0
604200;1000;0
604711;1000;0
605215;1000;0
605727;1000;0
606226;1000;508
606728;1000;1380
607242;1000;380
607756;1000;778
608270;1000;0
608771;1000;0
609283;1000;0
609797;1000;0
610312;1000;0
610824;1000;940
611337;1000;0
611848;1000;0
612363;1000;0
612876;1000;0
613378;1000;0
613892;1000;0
614406;1000;0
614920;1000;0
615434;1000;0
615947;1000;316
616458;1000;0
616970;1000;597
617480;1000;843
617983;1000;0
618486;1000;0
618996;1000;0
619495;1000;0
620011;1000;0
620512;1000;0
621027;1000;0
621529;1000;522
622041;1000;0
622542;1000;0
623054;1000;0
623554;1000;0
624068;1000;0
624584;1000;0
625087;1000;0
625599;1000;727
626104;1000;0
626618;1000;0
627163;1000;0
627677;1000;0
628191;1000;0
628705;1000;0
629215;1000;0
629716;1000;0
630229;1000;0
630744;1000;0
631258;1000;0
631772;1000;0
632274;1000;0
632789;1000;0
633290;1000;0
633804;1000;0
634303;1000;0
634812;1000;0
635310;1000;645
635825;1000;583
636326;1000;0
636839;1000;0
637353;1000;0
637869;1000;0
638383;1000;0
638898;1000;0
639413;1000;0
639913;1000;0
640413;1000;0
640924;1000;0
641437;1000;0
641951;1000;454
642468;1000;0
642978;1000;0
643491;1000;0
644006;1000;0
644510;1000;0
645015;1000;0
645520;1000;0
646025;1000;579
646527;1000;0
647027;1000;0
647540;1000;335
648043;1000;0
648546;1000;0
649052;1000;0
649565;1000;0
650080;1000;0
650580;1000;0
651081;1000;0
651596;1000;1075
652108;1000;966
652609;1000;531
653111;1000;0
653617;1000;0
654133;1000;0
654636;1000;115
655137;1000;0
655650;1000;0
656163;1000;348
656677;1000;0
657180;1000;0
657683;1000;0
658186;1000;0
658699;1000;0
659200;1000;0
659703;1000;713
660217;1000;233
660720;1000;0
661233;1000;0
661747;1000;0
662261;1000;0
662763;1000;0
663274;1000;0
663790;1000;0
664302;1000;0
664818;1000;204
665317;1000;0
665818;1000;0
666319;1000;0
666823;1000;0
667327;1000;0
667828;1000;0
668343;1000;0
668858;1000;0
669373;1000;0
669886;1000;0
670386;1000;845
670901;1000;183
671414;1000;0
671917;1000;0
672424;1000;0
672928;1000;0
673433;1000;0
673938;1000;411
674443;1000;57
674948;1000;0
675461;1000;0
675962;1000;0
676475;1000;0
676977;1000;0
677489;1000;0
678003;1000;0
678516;1000;538
679030;1000;0
679544;1000;294
680043;1000;221
680557;1000;0
681073;1000;0
681575;1000;0
682074;1000;0
682578;1000;0
683094;1000;0
683596;1000;0
684098;1000;0
684601;1000;300
685101;1000;0
685615;1000;0
686127;1000;0
686631;1000;0
687148;1000;0
687647;1000;0
688161;1000;0
688664;1000;1217
689169;1000;1083
689673;1000;971
690174;1000;0
690681;1000;0
691187;1000;0
691700;1000;1302
692201;1000;1056
692715;1000;521
693229;1000;0
693729;1000;0
694240;1000;0
694743;1000;0
695257;1000;0
695770;1000;0
696270;1000;0
696783;1000;379
697298;1000;608
697797;1000;115
698310;1000;0
698826;1000;0
699340;1000;0
699856;1000;0
700370;1000;0
700873;1000;495
701384;1000;23
701884;1000;565
702399;1000;0
702911;1000;0
703421;1000;0
703936;1000;487
704448;1000;333
704949;1000;1194
705448;1000;194
705951;1000;0
706461;1000;0
706963;1000;0
707473;1000;0
707973;1000;0
708488;1000;0
708989;1000;664
709502;1000;564
710016;1000;0
710518;1000;0
711032;1000;0
711538;1000;0
712042;1000;0
712545;1000;0
713058;1000;0
713558;1000;0
714073;1000;0
714586;1000;0
715087;1000;0
715602;1000;280
716117;1000;0
716631;1000;0
717144;1000;0
717644;1000;0
718159;1000;0
718658;1000;0
719160;1000;0
719669;1000;873
720184;1000;0
720696;1000;0
721196;1000;0
721711;1000;0
722211;1000;360
722712;1000;0
723227;1000;0
723739;1000;0
724238;1000;0
724738;1000;528
725242;1000;0
725756;1000;149
726268;1000;0
726783;1000;1200
727297;1000;903
727809;1000;515
728324;1000;346
728837;1000;242
729352;1000;776
729864;1000;0
730380;1000;0
730892;1000;0
731392;1000;0
731906;1000;0
732407;1000;0
732922;1000;0
733431;1000;0
733943;1000;0
734455;1000;0
734970;1000;0
735480;1000;0
735994;1000;0
736508;1000;0
737009;1000;0
737521;1000;148
738025;1000;0
738537;1000;0
739052;1000;0
739564;1000;273
740067;1000;0
740572;1000;0
741075;1000;0
741578;1000;0
742093;1000;0
742604;1000;0
743119;1000;0
743620;1000;0
744132;1000;1038
744646;1000;344
745162;1000;0
745676;1000;0
746174;1000;0
746690;1000;0
747248;1000;0
747750;1000;215
748263;1000;0
748778;1000;0
749292;1000;126
749806;1000;976
750321;1000;1468
750835;1000;1338
751348;1000;2146
751851;1000;1737
752351;1000;2567
752865;1000;1567
753379;1000;1302
753892;1000;2142
754408;1000;2057
754917;1000;1057
755416;1000;2131
755930;1000;1131
756443;1000;460
756957;1000;0
757470;1000;0
757986;1000;0
758484;1000;0
758995;1000;1051
759496;1000;590
760009;1000;508
760510;1000;0
761023;1000;0
761536;1000;0
762048;1000;74
762561;1000;0
763076;1000;447
763578;1000;0
764079;1000;0
764581;1000;0
765084;1000;0
765584;1000;0
766097;1000;0
766610;1000;0
767123;1000;0
767635;1000;0
768148;1000;0
768650;1000;0
769163;1000;0
769664;1000;0
770177;1000;0
770691;1000;0
771205;1000;955
771709;1000;0
772212;1000;0
772725;1000;0
773241;1000;0
773742;1000;809
774245;1000;1483
774744;1000;483
775246;1000;322
775761;1000;0
776264;1000;0
776766;1000;230
777278;1000;22
777793;1000;282
778305;1000;0
778819;1000;0
779331;1000;0
779844;1000;0
780343;1000;0
780856;1000;0
781358;1000;0
781873;1000;0
782386;1000;0
782887;1000;0
783402;1000;0
783916;1000;767
784430;1000;311
784932;1000;0
785446;1000;0
785956;1000;125
786467;1000;3053
786982;1000;2748
787481;1000;3620
787984;1000;2620
788496;1000;2024
789011;1000;1024
789524;1000;1673
790035;1000;673
790548;1000;394
791062;1000;0
791574;1000;30
792082;1000;0
792584;1000;0
793095;1000;0
793611;1000;0
794120;1000;0
794635;1000;0
795138;1000;0
795652;1000;0
796153;1000;0
796652;1000;0
797164;1000;0
797677;1000;0
798180;1000;0
798682;1000;0
799182;1000;0
799682;1000;0
800193;1000;0
800694;1000;0
801209;1000;0
801714;1000;0
802216;1000;0
802730;1000;0
803243;1000;0
803757;1000;0
804269;1000;0
804780;1000;0
805292;1000;0
805793;1000;0
806305;1000;0
806819;1000;0
807333;1000;0
807834;1000;0
808346;1000;0
808862;1000;0
809363;1000;0
809877;1000;0
810377;1000;0
810889;1000;0
811390;1000;0
811905;1000;0
812418;1000;0
812919;1000;0
813430;1000;0
813933;1000;0
814433;1000;0
814938;1000;0
815453;1000;0
815954;1000;0
816465;1000;0
816978;1000;0
817492;1000;0
818004;1000;0
818518;1000;0
819032;1000;0
819546;1000;0
820057;1000;0
820558;1000;0
821060;1000;0
821563;1000;0
822064;1000;0
822566;1000;0
823080;1000;0
823594;1000;0
824109;1000;0
824615;1000;0
825117;1000;0
825618;1000;0
826131;1000;0
826635;1000;0
827149;1000;0
827661;1000;0
828162;1000;0
828676;1000;0
829175;1000;0
829677;1000;0
830177;1000;0
830687;1000;0
831186;1000;0
831691;1000;0
832195;1000;0
832702;1000;0
833204;1000;0
833705;1000;0
834206;1000;0
834718;1000;0
835217;1000;0
835724;1000;0
836223;1000;0
836732;1000;0
837231;1000;0
837732;1000;0
838233;1000;0
838735;1000;0
839235;1000;0
839752;1000;0
840252;1000;0
840761;1000;0
841265;1000;0
841778;1000;0
842278;1000;0
842793;1000;0
843294;1000;0
843809;1000;0
844319;1000;0
844833;1000;0
845335;1000;0
845837;1000;0
846337;1000;0
846852;1000;0
847352;1000;0
847857;1000;0
848360;1000;0
848874;1000;0
849388;1000;0
849894;1000;0
850394;1000;0
850896;1000;0
851402;1000;0
851907;1000;0
