Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
211072;1;1;533;533;72;2;0.5;267;728;155;3;0.25;133;706;237;4;0.125;67;536;536;0;0;0;0
212076;1;1;533;533;94;2;0.5;267;706;179;3;0.25;133;660;275;4;0.125;67;452;452;0;0;0;0
213088;1;1;533;533;49;2;0.5;267;751;119;3;0.25;133;765;135;4;0.125;67;697;697;0;0;0;0
214102;1;1;533;533;44;2;0.5;267;756;122;3;0.25;133;767;191;4;0.125;67;643;643;0;0;0;0
215116;1;1;533;533;54;2;0.5;267;746;96;3;0.25;133;783;133;4;0.125;67;717;717;0;0;0;0
216128;1;1;533;533;23;2;0.5;267;777;62;3;0.25;133;848;80;4;0.125;67;835;835;0;0;0;0
217138;1;1;533;533;39;2;0.5;267;761;82;3;0.25;133;812;126;4;0.125;67;753;753;0;0;0;0
218152;1;1;533;533;24;2;0.5;267;776;52;3;0.25;133;857;82;4;0.125;67;842;842;0;0;0;0
219166;1;1;533;533;55;2;0.5;267;745;128;3;0.25;133;750;177;4;0.125;67;640;640;0;0;0;0
220181;1;1;533;533;63;2;0.5;267;737;155;3;0.25;133;715;170;4;0.125;67;612;612;0;0;0;0
221193;1;1;533;533;66;2;0.5;267;734;158;3;0.25;133;709;263;4;0.125;67;513;513;0;0;0;0
222192;1;1;533;533;100;2;0.5;267;700;175;3;0.25;133;658;296;4;0.125;67;429;429;0;0;0;0
223197;1;1;533;533;81;2;0.5;267;719;156;3;0.25;133;696;301;4;0.125;67;462;462;0;0;0;0
224196;1;1;533;533;62;2;0.5;267;738;85;3;0.25;133;786;129;4;0.125;67;724;724;0;0;0;0
225212;1;1;533;533;38;2;0.5;267;762;83;3;0.25;133;812;123;4;0.125;67;756;756;0;0;0;0
226224;1;1;533;533;50;2;0.5;267;750;109;3;0.25;133;774;135;4;0.125;67;706;706;0;0;0;0
227236;1;1;533;533;35;2;0.5;267;765;99;3;0.25;133;799;104;4;0.125;67;762;762;0;0;0;0
228234;1;1;533;533;50;2;0.5;267;750;105;3;0.25;133;778;214;4;0.125;67;631;631;0;0;0;0
229246;1;1;533;533;79;2;0.5;267;721;159;3;0.25;133;695;288;4;0.125;67;474;474;0;0;0;0
230260;1;1;533;533;63;2;0.5;267;737;130;3;0.25;133;740;170;4;0.125;67;637;637;0;0;0;0
231274;1;1;533;533;46;2;0.5;267;754;113;3;0.25;133;774;204;4;0.125;67;637;637;0;0;0;0
