Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
22578;1;1;427;427;39;2;0.5;213;601;60;3;0.25;107;648;103;4;0.125;53;598;598;0;0;0;0
22688;1;1;427;427;51;2;0.5;213;589;76;3;0.25;107;620;111;4;0.125;53;562;562;0;0;0;0
22798;1;1;427;427;33;2;0.5;213;607;82;3;0.25;107;632;115;4;0.125;53;570;570;0;0;0;0
22908;1;1;427;427;38;2;0.5;213;602;63;3;0.25;107;646;119;4;0.125;53;580;580;0;0;0;0
23015;1;1;427;427;38;2;0.5;213;602;76;3;0.25;107;633;147;4;0.125;53;539;539;0;0;0;0
23128;1;1;427;427;46;2;0.5;213;594;91;3;0.25;107;610;127;4;0.125;53;536;536;0;0;0;0
23235;1;1;427;427;38;2;0.5;213;602;69;3;0.25;107;640;129;4;0.125;53;564;564;0;0;0;0
23344;1;1;427;427;45;2;0.5;213;595;80;3;0.25;107;622;117;4;0.125;53;558;558;0;0;0;0
23455;1;1;427;427;45;2;0.5;213;595;81;3;0.25;107;621;117;4;0.125;53;557;557;0;0;0;0
23566;1;1;427;427;25;2;0.5;213;615;87;3;0.25;107;635;112;4;0.125;53;576;576;0;0;0;0
23679;1;1;427;427;53;2;0.5;213;587;80;3;0.25;107;614;128;4;0.125;53;539;539;0;0;0;0
23790;1;1;427;427;44;2;0.5;213;596;92;3;0.25;107;611;118;4;0.125;53;546;546;0;0;0;0
23896;1;1;427;427;52;2;0.5;213;588;90;3;0.25;107;605;104;4;0.125;53;554;554;0;0;0;0
24008;1;1;427;427;40;2;0.5;213;600;91;3;0.25;107;616;121;4;0.125;53;548;548;0;0;0;0
24117;1;1;427;427;37;2;0.5;213;603;83;3;0.25;107;627;128;4;0.125;53;552;552;0;0;0;0
24226;1;1;427;427;32;2;0.5;213;608;68;3;0.25;107;647;113;4;0.125;53;587;587;0;0;0;0
24336;1;1;427;427;49;2;0.5;213;591;69;3;0.25;107;629;129;4;0.125;53;553;553;0;0;0;0
24448;1;1;427;427;41;2;0.5;213;599;87;3;0.25;107;619;115;4;0.125;53;557;557;0;0;0;0
24556;1;1;427;427;37;2;0.5;213;603;90;3;0.25;107;620;113;4;0.125;53;560;560;0;0;0;0
24667;1;1;427;427;26;2;0.5;213;614;81;3;0.25;107;640;123;4;0.125;53;570;570;0;0;0;0
24771;1;1;427;427;39;2;0.5;213;601;82;3;0.25;107;626;123;4;0.125;53;556;556;0;0;0;0
24879;1;1;427;427;44;2;0.5;213;596;79;3;0.25;107;624;109;4;0.125;53;568;568;0;0;0;0
24988;1;1;427;427;44;2;0.5;213;596;74;3;0.25;107;629;141;4;0.125;53;541;541;0;0;0;0
25097;1;1;427;427;42;2;0.5;213;598;89;3;0.25;107;616;109;4;0.125;53;560;560;0;0;0;0
25207;1;1;427;427;42;2;0.5;213;598;93;3;0.25;107;612;124;4;0.125;53;541;541;0;0;0;0
25319;1;1;427;427;37;2;0.5;213;603;96;3;0.25;107;614;127;4;0.125;53;540;540;0;0;0;0
25430;1;1;427;427;38;2;0.5;213;602;79;3;0.25;107;630;121;4;0.125;53;562;562;0;0;0;0
25536;1;1;427;427;40;2;0.5;213;600;56;3;0.25;107;651;107;4;0.125;53;597;597;0;0;0;0
25644;1;1;427;427;41;2;0.5;213;599;81;3;0.25;107;625;128;4;0.125;53;550;550;0;0;0;0
25755;1;1;427;427;38;2;0.5;213;602;64;3;0.25;107;645;123;4;0.125;53;575;575;0;0;0;0
25861;1;1;427;427;43;2;0.5;213;597;76;3;0.25;107;628;122;4;0.125;53;559;559;0;0;0;0
25970;1;1;427;427;39;2;0.5;213;601;84;3;0.25;107;624;133;4;0.125;53;544;544;0;0;0;0
26078;1;1;427;427;37;2;0.5;213;603;72;3;0.25;107;638;116;4;0.125;53;575;575;0;0;0;0
26188;1;1;427;427;44;2;0.5;213;596;83;3;0.25;107;620;114;4;0.125;53;559;559;0;0;0;0
26297;1;1;427;427;33;2;0.5;213;607;78;3;0.25;107;636;119;4;0.125;53;570;570;0;0;0;0
26406;1;1;427;427;38;2;0.5;213;602;74;3;0.25;107;635;133;4;0.125;53;555;555;0;0;0;0
26514;1;1;427;427;35;2;0.5;213;605;87;3;0.25;107;625;116;4;0.125;53;562;562;0;0;0;0
