Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
154497;1;1;320;320;138;2;0.5;160;342;148;3;0.25;80;274;153;4;0.125;40;161;161;0;0;0;0
155499;1;1;320;320;135;2;0.5;160;345;140;3;0.25;80;285;166;4;0.125;40;159;159;0;0;0;0
156513;1;1;320;320;152;2;0.5;160;328;144;3;0.25;80;264;148;4;0.125;40;156;156;0;0;0;0
157518;1;1;320;320;147;2;0.5;160;333;149;3;0.25;80;264;162;4;0.125;40;142;142;0;0;0;0
158514;1;1;320;320;166;2;0.5;160;314;148;3;0.25;80;246;143;4;0.125;40;143;143;0;0;0;0
159526;1;1;320;320;155;2;0.5;160;325;126;3;0.25;80;279;143;4;0.125;40;176;176;0;0;0;0
160537;1;1;320;320;158;2;0.5;160;322;148;3;0.25;80;254;152;4;0.125;40;142;142;0;0;0;0
161556;1;1;320;320;166;2;0.5;160;314;134;3;0.25;80;260;141;4;0.125;40;159;159;0;0;0;0
162555;1;1;320;320;144;2;0.5;160;336;163;3;0.25;80;253;131;4;0.125;40;162;162;0;0;0;0
163570;1;1;320;320;143;2;0.5;160;337;140;3;0.25;80;277;151;4;0.125;40;166;166;0;0;0;0
164587;1;1;320;320;165;2;0.5;160;315;144;3;0.25;80;251;149;4;0.125;40;142;142;0;0;0;0
165577;1;1;320;320;159;2;0.5;160;321;133;3;0.25;80;268;158;4;0.125;40;150;150;0;0;0;0
166574;1;1;320;320;150;2;0.5;160;330;141;3;0.25;80;269;166;4;0.125;40;143;143;0;0;0;0
167607;1;1;320;320;139;2;0.5;160;341;152;3;0.25;80;269;163;4;0.125;40;146;146;0;0;0;0
168615;1;1;320;320;170;2;0.5;160;310;158;3;0.25;80;232;131;4;0.125;40;141;141;0;0;0;0
169632;1;1;320;320;51;2;0.5;160;429;31;3;0.25;80;478;53;4;0.125;40;465;36;NaN0;429;0;429
170641;1;1;320;320;0;2;0.5;160;480;0;3;0.25;80;560;0;4;0.125;40;600;0;NaN0;600;0;600
171638;1;1;320;320;0;2;0.5;160;480;0;3;0.25;80;560;0;4;0.125;40;600;0;NaN0;600;0;600
172656;1;1;320;320;0;2;0.5;160;480;0;3;0.25;80;560;0;4;0.125;40;600;0;NaN0;600;0;600
173651;1;1;320;320;0;2;0.5;160;480;0;3;0.25;80;560;0;4;0.125;40;600;0;NaN0;600;0;600
174669;1;1;320;320;0;2;0.5;160;480;0;3;0.25;80;560;0;4;0.125;40;600;0;NaN0;600;0;600
