Timestamp; Q1; Q2; Q3; Q4; Expirados
191575;66;86;139;18171;35826
192089;35;128;227;18619;35826
192433;35;0;0;16809;37057
192591;71;54;92;17238;37057
193094;49;155;220;17888;37057
193396;49;0;0;17334;37057
193604;87;89;113;17904;37057
194104;38;85;116;17703;37057
194409;38;85;116;17703;37057
194619;61;139;215;18112;37057
195117;37;93;135;18161;37057
195420;37;93;135;18161;37057
195627;37;93;135;18161;37057
196127;37;81;125;17963;37057
196429;37;81;125;17963;37057
196641;83;177;280;18666;37057
197139;17;42;66;18531;37057
197491;17;42;66;17520;38068
197653;54;164;224;18203;38068
198152;59;92;146;18348;38068
198449;59;92;146;18348;38068
198655;115;202;299;19029;38068
199157;13;15;330;19199;38068
199479;13;15;0;18489;38425
199669;36;90;84;18890;38425
200173;49;103;236;19586;38425
200535;49;103;0;17518;39855
200685;76;165;74;17887;39855
201186;41;73;120;17801;39855
201487;41;73;120;17553;40103
201698;82;173;245;18112;40103
202199;66;111;158;18277;40103
202498;66;111;158;17842;40538
202704;107;223;317;18530;40538
203201;29;78;111;18637;40538
203518;29;78;111;17946;41229
203711;62;166;212;18438;41229
204209;46;115;141;18534;41229
204527;46;115;141;17812;41951
204722;94;201;278;18541;41951
205222;45;89;134;18749;41951
205500;45;89;134;18749;41951
205722;91;180;294;19425;41951
206222;62;93;136;19602;41951
206519;62;93;136;19335;42218
206726;62;93;136;19335;42218
207224;22;37;51;18887;42218
207522;22;37;51;18589;42516
207730;47;71;114;18853;42516
208231;35;69;102;18604;42516
208524;35;69;102;18604;42516
208746;35;69;102;18604;42516
209247;20;44;78;18184;42516
209527;20;44;78;18184;42516
209763;20;44;78;18184;42516
210264;47;106;153;18020;42516
210528;47;106;153;18020;42516
210769;79;201;320;18726;42516
211278;46;111;154;19015;42516
211541;46;111;154;18748;42783
211786;62;160;244;19106;42783
212292;0;0;0;18572;42783
212543;0;0;0;18572;42783
212800;27;58;92;18958;42783
213302;0;0;0;18135;42783
213564;0;0;0;17843;43075
213809;46;99;146;18552;43075
214309;58;92;138;18555;43075
214568;58;92;138;18345;43285
214825;73;130;176;18546;43285
215326;58;110;120;18599;43285
215559;58;110;120;18586;43298
215834;125;202;263;19284;43298
216339;27;54;78;19278;43298
216609;27;54;78;18444;44132
216848;54;100;146;18776;44132
217360;54;60;121;18689;44132
217612;54;60;121;17899;44922
217865;54;60;121;17899;44922
218369;21;41;77;17482;44922
218596;21;41;77;17179;45225
218881;39;87;142;17481;45225
219397;22;59;60;17061;45225
219595;22;59;60;17061;45225
219896;22;59;60;17061;45225
220402;53;102;149;16809;45225
220600;53;102;149;16809;45225
220902;68;127;214;17041;45225
221417;24;47;70;16794;45225
221632;24;47;70;16352;45667
221930;66;132;180;16908;45667
222432;33;67;90;16673;45667
222661;33;67;90;15482;46858
222937;33;67;90;15482;46858
223443;19;36;57;14967;46858
223629;19;36;57;14967;46858
223949;69;126;211;15673;46858
224455;60;110;169;15740;46858
224675;60;110;169;14885;47713
224965;98;197;309;15522;47713
225467;58;89;118;15716;47713
225672;58;89;118;15183;48246
225969;97;162;225;15700;48246
226475;57;107;143;15877;48246
226666;57;107;143;15781;48342
226975;59;112;152;15812;48342
227492;36;86;119;15673;48342
227661;36;86;119;15673;48342
227999;67;171;248;16212;48342
228513;28;67;98;16137;48342
228669;28;67;98;16137;48342
229015;66;151;232;16737;48342
229528;23;49;87;16482;48342
229682;23;49;87;16482;48342
230031;48;99;184;16922;48342
230546;0;0;0;16253;48342
230717;0;0;0;15390;49205
231049;13;30;56;15608;49205
231552;36;71;120;15243;49205
231694;36;71;120;15243;49205
232059;81;168;258;15875;49205
232564;65;104;136;16065;49205
232702;65;104;136;16065;49205
233071;124;193;294;16759;49205
233576;47;90;146;17087;49205
233715;47;90;146;17087;49205
234080;98;188;281;17803;49205
234585;47;104;150;18069;49205
234739;47;104;150;17686;49588
235087;93;194;263;18275;49588
235589;19;33;44;18108;49588
235769;19;33;44;17104;50592
236089;19;33;44;17104;50592
236598;36;74;105;16659;50592
236739;36;74;105;16659;50592
237104;67;130;180;17043;50592
237612;26;61;86;16835;50592
237753;26;61;86;16835;50592
238121;84;150;222;17486;50592
238623;58;101;136;17624;50592
238760;58;101;136;17624;50592
239126;87;149;224;17995;50592
239632;29;62;94;17977;50592
239769;29;62;94;17977;50592
240147;77;142;218;18542;50592
240651;44;76;99;18521;50592
240777;44;76;99;18521;50592
241161;72;139;218;19047;50592
241665;0;0;0;18476;50592
241799;0;0;0;18253;50815
242172;54;89;165;18945;50815
242676;42;82;133;18856;50815
242797;42;82;133;18856;50815
243181;42;82;133;18856;50815
243681;39;59;120;18677;50815
243803;39;59;120;18677;50815
244185;39;59;120;18677;50815
244698;46;109;150;18590;50815
244803;46;109;150;18590;50815
245213;67;156;216;18940;50815
245710;61;96;155;18975;50815
245843;61;96;155;18477;51313
246226;61;96;155;18477;51313
246741;44;99;125;18447;51313
246857;44;99;125;17894;51866
247245;102;201;289;18570;51866
247743;42;86;150;18770;51866
247839;42;86;150;18640;51996
248243;42;86;150;18640;51996
248745;35;52;80;18280;51996
248848;35;52;80;18024;52252
249248;86;154;240;18711;52252
249750;51;90;143;18907;52252
249859;51;90;143;18531;52628
250256;104;198;289;19224;52628
250759;55;88;156;19516;52628
250860;55;88;156;19267;52877
251275;104;198;299;19965;52877
251779;49;100;132;20177;52877
251861;49;100;132;20040;53014
252281;61;149;180;20332;53014
252794;0;0;0;19722;53014
252912;0;0;0;18449;54287
253296;35;83;133;18985;54287
253796;34;54;84;18658;54287
253924;34;54;84;17425;55520
254309;34;54;84;17425;55520
254825;43;101;166;17287;55520
254869;43;101;166;17250;55557
255337;83;204;354;17919;55557
255837;18;48;60;17821;55557
255882;18;48;60;17821;55557
256341;18;48;60;17821;55557
256845;3;14;18;17014;55557
256889;3;14;18;17014;55557
257346;3;14;18;17014;55557
257850;12;20;32;16176;55557
257892;12;20;32;16176;55557
258357;14;29;37;16223;55557
258857;17;17;39;15457;55557
258909;17;17;39;15330;55684
259374;17;17;39;15330;55684
259877;10;29;39;14578;55684
259910;10;29;39;14418;55844
260384;26;62;88;14678;55844
